scenario_label,scenario,time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
Worst_WestAfrica,Worst_WestAfrica,1,0.000000,0.000,0.036712,0.323863,6.316438,0.963288,0.028899,0.000000,0.033041,0.034877
Worst_WestAfrica,Worst_WestAfrica,2,0.010101,3.606,0.038870,0.325265,6.305651,0.961130,0.028834,0.000000,0.034983,0.036926
Worst_WestAfrica,Worst_WestAfrica,3,0.020202,7.212,0.041148,0.326746,6.294258,0.958852,0.028766,0.000000,0.037034,0.039091
Worst_WestAfrica,Worst_WestAfrica,4,0.030303,10.818,0.043555,0.328310,6.282227,0.956445,0.028693,0.000000,0.039199,0.041377
Worst_WestAfrica,Worst_WestAfrica,5,0.040404,14.424,0.046095,0.329962,6.269526,0.953905,0.028617,0.000000,0.041485,0.043790
Worst_WestAfrica,Worst_WestAfrica,6,0.050505,18.030,0.048775,0.331704,6.256123,0.951225,0.028537,0.000000,0.043898,0.046337
Worst_WestAfrica,Worst_WestAfrica,7,0.060606,21.636,0.051604,0.333542,6.241982,0.948396,0.028452,0.000000,0.046443,0.049024
Worst_WestAfrica,Worst_WestAfrica,8,0.070707,25.242,0.054586,0.335481,6.227068,0.945414,0.028362,0.000000,0.049128,0.051857
Worst_WestAfrica,Worst_WestAfrica,9,0.080808,28.848,0.057731,0.337525,6.211344,0.942269,0.028268,0.000000,0.051958,0.054845
Worst_WestAfrica,Worst_WestAfrica,10,0.090909,32.455,0.061045,0.339679,6.194773,0.938955,0.028169,0.000000,0.054941,0.057993
Worst_WestAfrica,Worst_WestAfrica,11,0.101010,36.061,0.064537,0.341949,6.177316,0.935463,0.028064,0.000000,0.058083,0.061310
Worst_WestAfrica,Worst_WestAfrica,12,0.111111,39.667,0.068213,0.344339,6.158934,0.931787,0.027954,0.000000,0.061392,0.064803
Worst_WestAfrica,Worst_WestAfrica,13,0.121212,43.273,0.072083,0.346854,6.139584,0.927917,0.027838,0.000000,0.064875,0.068479
Worst_WestAfrica,Worst_WestAfrica,14,0.131313,46.879,0.076155,0.349501,6.119227,0.923845,0.027715,0.000000,0.068539,0.072347
Worst_WestAfrica,Worst_WestAfrica,15,0.141414,50.485,0.080436,0.352284,6.097819,0.919564,0.027587,0.000000,0.072393,0.076414
Worst_WestAfrica,Worst_WestAfrica,16,0.151515,54.091,0.084936,0.355209,6.075319,0.915064,0.027452,0.000000,0.076443,0.080689
Worst_WestAfrica,Worst_WestAfrica,17,0.161616,57.697,0.089664,0.358281,6.051682,0.910336,0.027310,0.000000,0.080697,0.085180
Worst_WestAfrica,Worst_WestAfrica,18,0.171717,61.303,0.094627,0.361507,6.026866,0.905373,0.027161,0.000000,0.085164,0.089895
Worst_WestAfrica,Worst_WestAfrica,19,0.181818,64.909,0.099835,0.364892,6.000827,0.900165,0.027005,0.000000,0.089851,0.094843
Worst_WestAfrica,Worst_WestAfrica,20,0.191919,68.515,0.105296,0.368442,5.973522,0.894704,0.026841,0.000000,0.094766,0.100031
Worst_WestAfrica,Worst_WestAfrica,21,0.202020,72.121,0.111019,0.372162,5.944907,0.888981,0.026669,0.000000,0.099917,0.105468
Worst_WestAfrica,Worst_WestAfrica,22,0.212121,75.727,0.117012,0.376058,5.914940,0.882988,0.026490,0.000000,0.105311,0.111161
Worst_WestAfrica,Worst_WestAfrica,23,0.222222,79.333,0.123284,0.380135,5.883580,0.876716,0.026301,0.000000,0.110956,0.117120
Worst_WestAfrica,Worst_WestAfrica,24,0.232323,82.939,0.129843,0.384398,5.850786,0.870157,0.026105,0.000000,0.116859,0.123351
Worst_WestAfrica,Worst_WestAfrica,25,0.242424,86.545,0.136696,0.388852,5.816519,0.863304,0.025899,0.000000,0.123027,0.129861
Worst_WestAfrica,Worst_WestAfrica,26,0.252525,90.152,0.143851,0.393503,5.780743,0.856149,0.025684,0.000000,0.129466,0.136659
Worst_WestAfrica,Worst_WestAfrica,27,0.262626,93.758,0.151316,0.398355,5.743422,0.848684,0.025461,0.000000,0.136184,0.143750
Worst_WestAfrica,Worst_WestAfrica,28,0.272727,97.364,0.159095,0.403412,5.704525,0.840905,0.025227,0.000000,0.143185,0.151140
Worst_WestAfrica,Worst_WestAfrica,29,0.282828,100.970,0.167196,0.408677,5.664022,0.832804,0.024984,0.000000,0.150476,0.158836
Worst_WestAfrica,Worst_WestAfrica,30,0.292929,104.576,0.175623,0.414155,5.621887,0.824377,0.024731,0.000000,0.158060,0.166841
Worst_WestAfrica,Worst_WestAfrica,31,0.303030,108.182,0.184380,0.419847,5.578099,0.815620,0.024469,0.000000,0.165942,0.175161
Worst_WestAfrica,Worst_WestAfrica,32,0.313131,111.788,0.193472,0.425757,5.532640,0.806528,0.024196,0.000000,0.174125,0.183798
